#{"t_start": 1757679027.0682552, "env_id": "None"}
r,l,t
-194.167474,54,314.603489
-141.009623,51,314.933799
-130.622265,42,315.217166
-298.3811,161,316.270088
0.914237,44,316.558066
-454.56265,387,319.058123
114.745985,119,319.811243
-589.619181,264,321.585265
-150.906213,56,321.968506
-86.788976,57,322.36101
-134.876357,99,322.989452
-354.839327,205,324.329833
-132.49691,98,324.968952
-223.111614,180,326.131243
-111.619431,58,326.523442
-465.11491,285,328.389118
-98.634474,121,329.20988
-117.888723,76,329.727666
-134.913282,200,330.999657
-254.731903,255,332.655374
-176.771229,116,333.439604
-127.862339,78,333.942063
-124.921194,65,334.382467
-277.645008,153,335.372601
74.25717,73,335.817227
-114.435143,61,336.212196
-127.356928,53,336.541969
-16.300868,46,344.801649
-194.95823,77,345.32913
-173.070705,23,345.484193
107.316547,293,347.334046
-121.362111,117,348.118972
-255.973255,247,349.710773
-310.825645,234,351.228567
-132.39581,63,351.620989
-163.428466,198,352.957065
-153.177169,172,354.148343
-199.013323,105,354.85953
-11.339795,272,356.62581
-80.091626,68,357.081048
-61.447568,156,358.079727
-295.505684,329,360.206786
-11.958808,104,360.914476
-268.194584,270,362.703303
-115.330838,97,363.320348
112.580607,68,363.760533
-38.791346,173,364.891618
-326.783092,268,366.621228
-177.483315,383,369.101311
-329.468081,220,370.577686
-157.832844,94,371.159154
-146.86818,121,371.959814
-158.137524,104,372.59412
-341.521846,215,374.00924
-174.558626,135,374.872128
-9.070528,90,375.437603
-243.159038,171,376.522074
-91.992942,107,377.213202
-108.20202,26,394.324113
-138.69583,49,394.655279
-90.386787,177,395.791241
-144.866468,150,396.708301
-101.566148,213,397.96519
-90.299402,196,399.11132
-112.680191,75,399.548162
-109.186315,76,400.015653
-37.10572,187,401.117405
-100.284668,40,401.368615
-89.235118,93,401.954601
48.495051,102,402.567194
-151.672961,84,403.100685
5.52777,324,405.112864
-172.141061,107,405.784689
-81.004487,55,406.145963
-93.811602,84,406.679932
-121.688174,390,408.998473
