#{"t_start": 1758004239.7373414, "env_id": "None"}
r,l,t
107.438282,99,608.472919
132.009119,84,609.159657
641.13399,175,610.561715
1284.681,246,612.623646
2197.393313,529,617.104323
532.457547,143,618.362071
419.715625,133,619.508844
1269.484453,205,627.629497
-44.371556,27,627.831212
10.20102,61,628.339614
157.849246,79,629.082049
406.104408,125,630.198034
614.379872,166,631.676626
358.561961,138,632.947876
765.50335,206,634.702376
423.033934,123,635.833124
1398.352129,260,638.061852
812.832853,216,639.884339
2106.485208,351,642.686183
891.267067,239,644.615634
639.359025,176,646.012356
1182.414188,272,648.113192
94.986742,50,648.471516
428.507947,121,649.369162
2771.918306,533,653.435438
131.921329,74,653.985566
106.426267,72,654.575159
1098.761856,257,656.642925
716.298304,171,657.933527
599.976559,160,659.118213
122.500372,68,659.643605
232.016786,84,660.340128
268.740402,111,661.239042
767.929173,199,662.778732
299.882164,115,663.67713
582.348836,167,665.008361
160.816941,112,665.964816
33.972604,75,666.565302
271.355237,94,667.367126
186.467449,93,668.143914
879.99289,191,669.755963
2624.768902,554,674.423097
2225.339158,381,677.7961
2290.311677,407,681.318427
2481.647726,506,685.573532
1584.248561,410,689.019094
2794.468343,485,693.283553
2290.105322,435,697.047767
2169.645135,353,700.104177
2102.807012,439,703.774227
561.027661,163,705.20376
1827.943156,399,708.637151
1237.31351,282,713.830364
-117.678424,7,713.905702
144.644186,68,714.446708
730.564975,165,715.93422
289.761525,127,717.032547
354.346355,105,717.885876
1286.109603,251,719.88697
3095.591291,570,724.839431
371.677724,128,725.852402
429.92169,110,726.836045
1448.909054,264,728.909834
1943.741185,345,731.528639
427.048183,127,732.525803
2643.775777,542,736.783002
1273.722704,277,738.848072
158.609199,66,739.369146
2267.666087,442,742.650823
135.252086,78,743.251177
180.044915,83,743.858268
90.247902,50,744.253751
184.759515,185,745.67478
1359.873992,254,747.615647
2123.656299,365,750.469709
2637.526218,550,754.733718
2579.367098,481,758.491532
411.632076,111,759.443526
3404.895026,545,763.836471
1878.904263,307,766.46486
427.935525,109,767.419925
2956.814401,597,772.544165
1562.685053,269,774.758019
1743.561627,328,777.487779
192.78021,83,778.167712
1198.443551,270,780.357032
3165.851639,622,785.57
836.580802,208,787.19315
463.196253,115,788.079914
974.335439,195,789.692692
3616.890924,601,799.270642
-95.0,4,799.303643
-174.957898,19,799.46535
2765.390444,510,803.602529
458.87411,103,804.478475
568.291763,165,805.883505
174.238765,70,806.468701
2903.037234,499,810.568046
2505.612148,460,813.957225
96.103409,122,814.845456
2898.465411,463,818.36597
929.575765,203,819.921132
1114.018462,228,821.680902
3463.522048,634,826.40174
2570.169581,462,829.99007
355.347632,119,830.893897
137.962317,78,831.492236
608.035861,125,832.431245
272.78878,74,832.98623
167.34406,85,833.619017
255.247163,74,834.160996
123.248733,50,834.548801
756.248785,153,835.754392
3610.551824,606,840.820323
288.21305,90,841.547755
1425.489989,257,843.651416
152.297004,84,844.332558
2439.067175,403,847.601735
1995.380714,406,850.980372
442.955104,135,852.089764
795.767291,183,853.6191
1461.150843,296,856.021598
916.006553,200,857.704931
686.764944,172,859.121259
518.975954,142,860.282353
1412.760571,319,862.832114
2723.298269,471,866.785554
2170.684723,414,870.224073
767.940896,145,871.374885
189.840717,61,871.895164
657.317508,160,873.228894
96.704033,44,873.594996
401.166527,127,874.627883
2468.349127,494,878.807547
422.667613,91,882.932941
-86.013489,4,882.970821
1569.250694,299,885.427374
2689.126735,450,888.936253
3464.747089,669,894.183486
257.758596,90,894.949114
103.57413,119,895.919025
1608.240909,264,897.98712
3324.551894,704,902.964399
133.503606,58,903.388169
1198.044559,257,905.249147
3423.802046,612,909.840214
540.173446,135,910.960617
375.927059,105,911.85521
537.134237,134,912.944171
1093.443137,225,914.835416
2151.204361,400,918.181326
2542.045391,435,921.872979
2961.801411,543,926.357894
3810.377826,659,931.534597
731.404384,252,933.436878
741.63832,161,934.724441
1957.008134,316,937.400839
1591.886378,273,939.724716
75.343141,66,940.276481
375.100363,90,940.967381
1850.194041,368,943.987689
2923.732041,438,947.563324
1415.656787,270,949.825065
3792.79707,614,954.83636
1637.750136,372,957.790583
3653.153063,618,968.726406
-263.258704,27,968.930701
846.134563,194,970.613096
2712.518048,488,974.465961
85.442891,66,975.018189
185.891171,97,975.811633
2844.847461,484,979.814215
185.678268,89,980.602025
359.243943,124,981.655453
7.092885,57,982.163536
102.278948,53,982.66993
980.316896,195,984.353667
3731.289286,604,989.567221
161.952183,69,990.204078
896.26185,165,991.6818
3282.641454,524,996.284139
426.394585,101,997.140387
3096.281512,473,1001.451404
1887.292167,318,1004.23262
2886.882084,562,1009.200195
329.025999,84,1010.001735
2135.380601,402,1013.600188
-15.534511,100,1014.51201
-73.355808,141,1015.754768
501.709812,127,1016.854768
2061.04853,377,1020.184587
1721.556626,298,1022.733396
3013.465167,516,1027.120991
729.620629,135,1028.323614
555.290703,128,1029.465524
2232.297677,375,1032.790966
93.044853,80,1033.563148
4076.259789,694,1040.018085
4035.401671,606,1045.176489
1633.79289,286,1047.414526
1184.080661,215,1049.189064
82.653519,135,1050.326022
492.370171,114,1051.288527
3153.808149,497,1060.266152
3981.770228,680,1065.511356
2592.789982,391,1068.789306
689.902866,129,1069.836082
253.349907,77,1070.443498
311.732488,109,1071.377717
209.018154,75,1072.001561
280.40411,79,1072.671234
2298.032162,363,1075.675123
245.130982,76,1076.29662
2119.488757,359,1079.32772
1351.032059,257,1081.463012
2848.214261,543,1085.887861
1686.084293,341,1088.71226
3814.330212,690,1094.351123
2074.633928,307,1096.842775
3840.642002,809,1103.407772
2716.326414,497,1107.444866
1942.339338,340,1110.165351
2932.904761,505,1114.24584
1979.374318,336,1117.054205
731.379275,171,1118.478396
3536.171383,656,1123.887517
308.882679,129,1124.922905
538.305942,157,1126.208954
4339.695018,657,1131.177336
3294.614684,545,1135.19414
2707.406873,476,1138.656256
1005.821505,206,1140.223768
103.494728,40,1145.529206
-106.815106,53,1145.952759
532.339753,137,1147.034194
1631.276001,276,1149.267655
3048.078589,483,1153.333771
3055.789118,558,1157.638799
3571.668002,568,1162.404087
530.140133,185,1163.963933
227.340574,66,1164.512475
487.25343,119,1165.456444
616.649099,194,1166.991245
2076.695317,393,1170.296613
594.355938,133,1171.471991
1950.622664,419,1175.024717
1277.226337,228,1176.835627
1245.046133,253,1178.91327
387.701983,128,1180.011797
3963.599621,834,1187.300877
4006.417643,560,1191.909403
650.778507,124,1193.006817
145.446195,67,1193.562511
146.117835,63,1194.068377
753.563452,194,1195.696247
1220.121848,187,1197.271834
3622.131136,582,1202.417981
123.508236,59,1202.957729
3463.202989,540,1207.347686
90.389225,81,1208.039321
826.624245,209,1209.767157
3835.69715,666,1215.258411
148.046203,113,1216.171388
2509.003222,456,1219.798368
893.213022,158,1221.045885
3689.173414,497,1224.877793
2299.120232,417,1233.320061
2774.627624,526,1237.845534
594.695986,149,1239.006768
587.527313,127,1239.995842
3474.915963,582,1244.636721
3837.075552,580,1249.51704
789.874392,152,1250.678953
1283.232861,235,1252.533609
434.795349,111,1253.516259
