#{"t_start": 1768398537.5001783, "env_id": "None"}
r,l,t
2502.903144,372,4227.332098
2670.989906,368,4231.499043
2504.172627,319,4235.269268
2701.181075,409,4239.942418
2476.681312,335,4243.847958
2562.008731,336,4247.851912
1116.62482,187,4250.067277
2534.161139,323,4253.850635
707.711824,118,4255.173781
2383.52013,333,4258.891013
2506.555602,383,4263.227705
2363.38059,340,4267.221165
1590.525939,230,4274.893852
2912.85606,577,4281.494308
2562.752485,387,4285.791904
2692.304255,480,4291.056181
2666.244029,366,4295.057404
2488.8604,377,4299.168081
2327.379136,480,4304.430526
1996.94677,425,4309.029848
2428.313842,362,4312.951964
2470.556224,366,4317.497201
2288.509334,354,4322.45882
2578.804694,355,4327.19634
2516.776181,366,4332.118713
2588.352969,337,4336.679814
2317.275665,352,4341.222078
2310.804786,367,4346.184228
2528.748718,370,4351.324543
2295.080746,366,4356.235169
2201.570573,362,4361.070992
2693.681388,401,4366.599579
2434.815826,340,4371.044056
2316.779514,401,4376.480224
2623.031552,347,4381.296604
2479.178425,329,4385.520301
2583.307015,341,4390.030276
2435.780051,355,4394.572043
2328.080995,420,4400.066745
52.121459,17,4415.573207
35.202999,50,4416.168146
2415.529171,401,4420.526659
2385.491756,565,4426.768718
89.740766,227,4429.243163
2344.444832,320,4432.902685
2621.938539,353,4437.481817
2475.0297,348,4442.023967
2583.709898,590,4449.499159
2379.98315,314,4453.734424
2380.176228,381,4458.537865
2361.837543,389,4462.91591
2211.373996,332,4466.811437
2512.984813,421,4471.997366
2456.265433,387,4476.894577
2477.997688,327,4481.139324
2456.557998,368,4485.93879
2414.314829,351,4490.863955
2175.711357,333,4494.998394
2265.205067,373,4498.996578
2236.879329,379,4503.088471
2516.020487,344,4506.808915
2485.167243,361,4510.673191
2632.658347,358,4514.539817
2518.767354,384,4518.660895
2486.740404,372,4522.68627
2367.486785,364,4526.59346
2301.14864,377,4530.612384
672.565823,231,4537.981917
-92.098377,90,4539.004921
2112.462303,439,4543.777003
237.003059,66,4544.490423
402.245912,108,4545.671819
356.473196,89,4546.668205
372.592154,211,4548.943016
240.668025,128,4550.31791
214.954734,155,4551.987553
470.626157,116,4553.234697
2398.353879,344,4556.984736
591.018532,168,4558.78721
745.081313,153,4560.4321
2537.236933,352,4564.373908
716.413398,129,4565.793216
2575.473512,351,4569.567065
2492.052211,392,4573.812934
802.055792,246,4576.467468
2183.908467,398,4580.722447
1142.893639,188,4582.740128
1059.011816,239,4585.319077
1052.614007,213,4587.635831
2403.056167,338,4591.343804
2559.38718,341,4595.07938
2540.73787,325,4598.608711
2504.942652,407,4603.002787
2382.141376,375,4607.013759
2599.611246,358,4610.828889
2518.293671,317,4614.227012
2337.698483,388,4618.403133
945.36206,250,4621.088593
2625.528365,360,4624.98345
2667.452729,355,4628.734594
2587.444977,335,4632.346782
2086.045917,362,4636.204612
2404.467265,343,4639.838408
2367.15353,348,4643.597261
1606.131613,223,4650.037525
97.4358,54,4650.690422
-34.666225,74,4651.503695
265.37461,80,4652.368677
2503.339884,402,4656.732386
-17.950818,99,4657.785203
2440.025728,356,4661.624565
2436.923696,516,4667.411402
189.26985,114,4668.606814
2482.932035,342,4672.248791
2479.947065,336,4676.184507
2187.411696,372,4681.191399
544.032334,134,4683.109537
2059.250208,381,4688.385488
2278.268228,322,4692.728641
